iter	Accuracy	MultiClass
0	0.5048076923	1.386044919
1	0.5048076923	1.385905501
2	0.5048076923	1.385732465
3	0.5048076923	1.385474434
4	0.5096153846	1.385444985
5	0.5048076923	1.385204748
6	0.5048076923	1.385192102
7	0.5096153846	1.384985962
8	0.5096153846	1.384952876
9	0.5096153846	1.384788221
10	0.5192307692	1.384640605
11	0.5192307692	1.38439075
12	0.5240384615	1.384184787
13	0.5240384615	1.384019288
14	0.5336538462	1.38377166
15	0.5240384615	1.383545056
16	0.5240384615	1.383346093
17	0.5240384615	1.383105036
18	0.5240384615	1.382874559
19	0.5240384615	1.382842179
20	0.5240384615	1.38279054
21	0.5240384615	1.382542033
22	0.5240384615	1.382405537
23	0.5240384615	1.382149994
24	0.5240384615	1.381898845
25	0.5288461538	1.381662474
26	0.5192307692	1.381515851
27	0.5192307692	1.381507711
28	0.5288461538	1.381424988
29	0.5288461538	1.381195403
30	0.5240384615	1.380956119
31	0.5288461538	1.38070967
32	0.5288461538	1.380673698
33	0.5240384615	1.380424687
34	0.5192307692	1.380375501
35	0.5192307692	1.380130121
36	0.5192307692	1.379876634
37	0.5192307692	1.379781316
38	0.5192307692	1.379536438
39	0.5192307692	1.379397389
40	0.5192307692	1.379329523
41	0.5192307692	1.379089255
42	0.5192307692	1.378855413
43	0.5192307692	1.378612285
44	0.5192307692	1.378360369
45	0.5192307692	1.378133776
46	0.5144230769	1.377880703
47	0.5192307692	1.377726203
48	0.5192307692	1.377680551
49	0.5192307692	1.377437475
50	0.5192307692	1.3774111
51	0.5192307692	1.377167062
52	0.5192307692	1.376923264
53	0.5192307692	1.37668987
54	0.5192307692	1.376465297
55	0.5192307692	1.376249981
56	0.5192307692	1.376043386
57	0.5192307692	1.376023089
58	0.5192307692	1.375782455
59	0.5192307692	1.375714068
60	0.5192307692	1.375472776
61	0.5192307692	1.375378128
62	0.5192307692	1.375225827
63	0.5192307692	1.375012984
64	0.5192307692	1.374782256
65	0.5240384615	1.374549735
66	0.5240384615	1.374400004
67	0.5240384615	1.374330826
68	0.5240384615	1.374089978
69	0.5240384615	1.373849108
70	0.5240384615	1.373637263
71	0.5240384615	1.373465189
72	0.5240384615	1.373234693
73	0.5240384615	1.373178363
74	0.5240384615	1.373020142
75	0.5240384615	1.372875557
76	0.5240384615	1.372646487
77	0.5240384615	1.372593343
78	0.5240384615	1.372389422
79	0.5192307692	1.372197444
80	0.5192307692	1.372141314
81	0.5192307692	1.372001585
82	0.5144230769	1.371762123
83	0.5144230769	1.371730839
84	0.5192307692	1.371489397
85	0.5144230769	1.371258126
86	0.5144230769	1.371031201
87	0.5240384615	1.370951332
88	0.5240384615	1.370928242
89	0.5192307692	1.370764355
90	0.5240384615	1.370523886
91	0.5240384615	1.370278783
92	0.5240384615	1.370042055
93	0.5240384615	1.369891761
94	0.5240384615	1.369748347
95	0.5240384615	1.369528193
96	0.5240384615	1.369452123
97	0.5240384615	1.369223893
98	0.5240384615	1.36898795
99	0.5240384615	1.368756359
100	0.5240384615	1.368512736
101	0.5240384615	1.368273333
102	0.5240384615	1.368055777
103	0.5240384615	1.367812986
104	0.5240384615	1.367661291
105	0.5240384615	1.367427649
106	0.5240384615	1.367185363
107	0.5240384615	1.367051183
108	0.5240384615	1.36682686
109	0.5240384615	1.366594106
110	0.5240384615	1.366466281
111	0.5240384615	1.366242413
112	0.5240384615	1.3661789
113	0.5240384615	1.365946643
114	0.5192307692	1.36572324
115	0.5192307692	1.365516156
116	0.5192307692	1.365284494
117	0.5192307692	1.36505807
118	0.5192307692	1.36496116
119	0.5192307692	1.364734988
120	0.5192307692	1.364656392
121	0.5192307692	1.364432073
122	0.5240384615	1.364220085
123	0.5192307692	1.363980378
124	0.5192307692	1.36394635
125	0.5192307692	1.363723554
126	0.5192307692	1.363498453
127	0.5192307692	1.363276068
128	0.5192307692	1.363037231
129	0.5192307692	1.362906695
130	0.5192307692	1.36267731
131	0.5192307692	1.362674617
132	0.5192307692	1.362654174
133	0.5192307692	1.36247656
134	0.5192307692	1.362286174
135	0.5192307692	1.362053011
136	0.5192307692	1.36190496
137	0.5192307692	1.361684926
138	0.5192307692	1.361532798
139	0.5240384615	1.361383006
140	0.5240384615	1.361285139
141	0.5240384615	1.361047941
142	0.5192307692	1.360819755
143	0.5240384615	1.360667485
144	0.5192307692	1.360629563
145	0.5240384615	1.360515656
146	0.5240384615	1.360363773
147	0.5240384615	1.360356948
148	0.5240384615	1.360230242
149	0.5240384615	1.360034711
150	0.5240384615	1.359982202
151	0.5192307692	1.359885884
152	0.5192307692	1.359814737
153	0.5240384615	1.359659603
154	0.5240384615	1.35962419
155	0.5240384615	1.359395775
156	0.5192307692	1.359168788
157	0.5192307692	1.359153696
158	0.5192307692	1.359022563
159	0.5240384615	1.358800757
160	0.5240384615	1.35875128
161	0.5192307692	1.358581714
162	0.5240384615	1.358432083
163	0.5240384615	1.358283678
164	0.5240384615	1.358046898
165	0.5240384615	1.357825741
166	0.5240384615	1.357668554
167	0.5240384615	1.357461093
168	0.5240384615	1.357325389
169	0.5240384615	1.357095453
170	0.5240384615	1.356872942
171	0.5240384615	1.356720969
172	0.5240384615	1.356570025
173	0.5240384615	1.356394034
174	0.5240384615	1.356160264
175	0.5240384615	1.356127504
176	0.5240384615	1.355911109
177	0.5240384615	1.355677617
178	0.5240384615	1.355468207
179	0.5240384615	1.355420013
180	0.5240384615	1.355268578
181	0.5240384615	1.355060304
182	0.5240384615	1.354843729
183	0.5240384615	1.354692514
184	0.5240384615	1.354690352
185	0.5240384615	1.354554671
186	0.5240384615	1.354329301
187	0.5240384615	1.354233109
188	0.5240384615	1.354004633
189	0.5240384615	1.35377638
190	0.5240384615	1.35362594
191	0.5240384615	1.353427027
192	0.5240384615	1.353213363
193	0.5240384615	1.3531872
194	0.5240384615	1.352996683
195	0.5240384615	1.352859426
196	0.5240384615	1.352716823
197	0.5240384615	1.352642679
198	0.5240384615	1.35262702
199	0.5240384615	1.352399806
200	0.5240384615	1.352225954
201	0.5240384615	1.352160203
202	0.5240384615	1.351988152
203	0.5240384615	1.351766596
204	0.5240384615	1.351547928
205	0.5240384615	1.351393123
206	0.5240384615	1.351186488
207	0.5240384615	1.351062933
208	0.5240384615	1.350840784
209	0.5240384615	1.350817908
210	0.5240384615	1.350773299
211	0.5240384615	1.350626702
212	0.5288461538	1.350414046
213	0.5240384615	1.350189303
214	0.5288461538	1.350122466
215	0.5288461538	1.350011459
216	0.5288461538	1.350003471
217	0.5288461538	1.34978792
218	0.5288461538	1.349611139
219	0.5288461538	1.349380904
220	0.5288461538	1.349203453
221	0.5288461538	1.34913002
222	0.5288461538	1.349101949
223	0.5288461538	1.348948086
224	0.5288461538	1.348724488
225	0.5288461538	1.34851167
226	0.5288461538	1.348292727
227	0.5288461538	1.34808184
228	0.5288461538	1.34787207
229	0.5288461538	1.347644879
230	0.5288461538	1.347434178
231	0.5288461538	1.347271232
232	0.5288461538	1.347120713
233	0.5288461538	1.346917488
234	0.5288461538	1.346800437
235	0.5288461538	1.34658547
236	0.5288461538	1.346564703
237	0.5288461538	1.346351773
238	0.5288461538	1.34629334
239	0.5288461538	1.346082382
240	0.5288461538	1.345855037
241	0.5288461538	1.345741469
242	0.5288461538	1.345548072
243	0.5288461538	1.345373006
244	0.5288461538	1.345251845
245	0.5288461538	1.345194089
246	0.5288461538	1.345080902
247	0.5288461538	1.344905425
248	0.5288461538	1.344874306
249	0.5288461538	1.344739331
250	0.5288461538	1.344525883
251	0.5288461538	1.344314505
252	0.5288461538	1.344149373
253	0.5288461538	1.344006697
254	0.5288461538	1.343790971
255	0.5288461538	1.343640137
256	0.5288461538	1.34352798
257	0.5288461538	1.343422427
258	0.5288461538	1.343399197
259	0.5288461538	1.343181353
260	0.5288461538	1.342961227
261	0.5288461538	1.342741312
262	0.5288461538	1.3425179
263	0.5288461538	1.342300818
264	0.5288461538	1.342076273
265	0.5288461538	1.34192759
266	0.5288461538	1.3417936
267	0.5288461538	1.34160335
268	0.5288461538	1.341396337
269	0.5288461538	1.341172434
270	0.5288461538	1.341163067
271	0.5288461538	1.340939385
272	0.5288461538	1.340778376
273	0.5288461538	1.340633651
274	0.5288461538	1.340420452
