iter	Passed	Remaining
0	46	23338
1	47	11799
2	47	7951
3	48	6016
4	49	4863
5	49	4091
6	50	3544
7	50	3119
8	51	2808
9	51	2540
10	52	2331
11	53	2164
12	54	2030
13	54	1899
14	55	1783
15	55	1679
16	56	1613
17	57	1532
18	57	1461
19	58	1397
20	58	1343
21	59	1302
22	60	1254
23	61	1219
24	61	1177
25	62	1141
26	63	1107
27	63	1077
28	64	1046
29	64	1017
30	65	990
31	65	963
32	66	938
33	66	913
34	67	892
35	67	875
36	74	933
37	75	914
38	75	893
39	75	873
40	101	1137
41	102	1115
42	102	1093
43	103	1074
44	104	1054
45	105	1037
46	105	1020
47	106	1002
48	107	984
49	107	967
50	107	950
51	110	949
52	110	933
53	111	917
54	123	996
55	147	1167
56	147	1148
57	148	1135
58	151	1130
59	153	1122
60	154	1110
61	154	1092
62	156	1085
63	156	1069
64	157	1053
65	157	1038
66	158	1023
67	220	1399
68	221	1385
69	222	1365
70	222	1345
71	224	1333
72	225	1316
73	226	1303
74	227	1288
75	227	1270
76	229	1258
77	229	1242
78	230	1226
79	231	1214
80	231	1198
81	232	1184
82	232	1170
83	233	1155
84	234	1146
85	235	1131
86	235	1117
87	235	1103
88	236	1089
89	236	1076
90	287	1292
91	288	1277
92	288	1263
93	289	1248
94	289	1234
95	290	1221
96	290	1208
97	291	1195
98	292	1186
99	293	1173
100	293	1160
101	294	1149
102	294	1136
103	295	1125
104	296	1114
105	297	1106
106	299	1098
107	299	1087
108	300	1077
109	300	1066
110	301	1055
111	301	1044
112	301	1033
113	302	1024
114	303	1014
115	303	1004
116	304	995
117	304	986
118	305	978
119	306	971
120	308	966
121	309	957
122	311	955
123	312	947
124	312	938
125	313	929
126	313	921
127	314	913
128	314	905
129	315	898
130	315	890
131	316	881
132	316	873
133	323	882
134	323	874
135	324	867
136	324	859
137	326	855
138	327	849
139	327	842
140	328	835
141	329	830
142	330	824
143	330	817
144	331	810
145	331	803
146	331	796
147	333	792
148	334	788
149	335	782
150	341	790
151	342	783
152	342	777
153	343	771
154	343	765
155	401	884
156	401	877
157	402	872
158	403	866
159	404	860
160	405	853
161	406	848
162	406	841
163	407	835
164	408	828
165	408	822
166	409	816
167	409	809
168	410	804
169	411	797
170	411	791
171	412	786
172	412	780
173	413	774
174	413	768
175	414	762
176	414	757
177	415	751
178	415	745
179	416	740
180	417	735
181	418	730
182	418	725
183	419	719
184	419	714
185	420	709
186	420	704
187	421	699
188	422	694
189	422	689
190	423	684
191	423	680
192	424	675
193	425	671
194	426	666
195	427	662
196	427	657
197	495	756
198	496	751
199	497	745
200	497	740
201	498	735
202	499	730
203	499	725
204	500	720
205	501	715
206	502	711
207	504	707
208	504	702
209	505	697
210	505	692
211	506	687
212	573	772
213	574	767
214	574	762
215	575	756
216	575	750
217	576	745
218	577	741
219	578	736
220	578	730
221	579	725
222	580	720
223	580	715
224	580	709
225	581	704
226	581	699
227	581	694
228	582	688
229	582	683
230	582	678
231	583	673
232	583	668
233	584	663
234	584	659
235	584	654
236	585	649
237	585	644
238	586	640
239	586	635
240	587	631
241	587	626
242	651	688
243	651	683
244	652	679
245	652	674
246	653	669
247	653	664
248	654	659
249	654	654
250	655	650
251	655	645
252	657	641
253	657	637
254	658	632
255	658	627
256	659	623
257	659	618
258	661	615
259	661	610
260	662	606
261	669	607
262	669	603
263	670	598
264	670	594
265	670	590
266	671	585
267	672	582
268	673	578
269	674	574
270	675	570
271	675	566
272	676	562
273	676	558
274	677	554
275	677	550
276	678	546
277	678	542
278	679	538
279	679	534
280	680	530
281	680	526
282	681	522
283	681	518
284	746	562
285	746	558
286	747	554
287	748	551
288	749	547
289	749	543
290	750	538
291	750	534
292	751	530
293	751	526
294	752	522
295	752	518
296	753	514
297	756	512
298	756	508
299	757	504
300	757	500
301	758	497
302	758	493
303	759	489
304	760	486
305	761	482
306	762	479
307	763	475
308	763	472
309	764	468
310	766	466
311	767	462
312	768	458
313	768	455
314	769	451
315	769	448
316	770	444
317	772	441
318	772	438
319	773	435
320	774	431
321	775	428
322	776	425
323	777	422
324	778	419
325	778	415
326	779	412
327	780	409
328	780	405
329	781	402
330	781	399
331	782	395
332	782	392
333	783	389
334	850	419
335	851	415
336	852	412
337	852	408
338	853	405
339	854	402
340	855	398
341	855	395
342	856	391
343	856	388
344	860	386
345	860	383
346	861	379
347	862	376
348	862	373
349	862	369
350	864	366
351	864	363
352	865	360
353	865	357
354	866	353
355	866	350
356	867	347
357	868	344
358	868	341
359	869	338
360	869	334
361	870	331
362	870	328
363	871	325
364	872	322
365	930	340
366	931	337
367	932	334
368	933	331
369	934	328
370	935	325
371	935	321
372	937	319
373	937	315
374	937	312
375	938	309
376	939	306
377	940	303
378	941	300
379	942	297
380	943	294
381	944	291
382	945	288
383	946	285
384	947	282
385	948	280
386	949	277
387	950	274
388	950	271
389	954	269
390	955	266
391	956	263
392	957	260
393	957	257
394	958	254
395	958	251
396	958	248
397	959	245
398	959	242
399	960	240
400	960	237
401	960	234
402	961	231
403	961	228
404	961	225
405	962	222
406	1029	235
407	1030	232
408	1030	229
409	1031	226
410	1031	223
411	1032	220
412	1033	217
413	1033	214
414	1034	211
415	1035	209
416	1036	206
417	1036	203
418	1037	200
419	1037	197
420	1038	194
421	1038	191
422	1038	189
423	1039	186
424	1039	183
425	1039	180
426	1040	177
427	1040	175
428	1040	172
429	1041	169
430	1041	166
431	1041	164
432	1042	161
433	1042	158
434	1042	155
435	1043	153
436	1043	150
437	1097	155
438	1098	152
439	1098	149
440	1100	147
441	1103	144
442	1104	142
443	1104	139
444	1105	136
445	1105	133
446	1106	131
447	1106	128
448	1107	125
449	1107	123
450	1108	120
451	1108	117
452	1108	115
453	1175	119
454	1176	116
455	1176	113
456	1180	111
457	1180	108
458	1181	105
459	1182	102
460	1183	100
461	1184	97
462	1184	94
463	1185	91
464	1185	89
465	1186	86
466	1187	83
467	1187	81
468	1187	78
469	1188	75
470	1252	77
471	1253	74
472	1253	71
473	1254	68
474	1254	66
475	1255	63
476	1256	60
477	1257	57
478	1257	55
479	1258	52
480	1258	49
481	1259	47
482	1259	44
483	1260	41
484	1260	38
485	1261	36
486	1261	33
487	1262	31
488	1301	29
489	1301	26
490	1303	23
491	1303	21
492	1304	18
493	1304	15
494	1305	13
495	1305	10
496	1307	7
497	1307	5
498	1309	2
499	1310	0
